,subID,Coop,Greed,Risk,Nash,comb,comb_labels,BIC
0,5005.0,False,True,True,False,011000,"Greed,
Risk",17.77
1,5006.0,False,True,True,False,011000,"Greed,
Risk",-47.02
2,5007.0,False,False,True,True,001010,"Risk,
Nash",18.46
3,5008.0,False,True,True,True,011010,"Greed,
Risk,
Nash",-14.27
4,5009.0,True,False,False,True,100010,"Coop.,
Nash",-33.91
5,5010.0,False,True,True,False,011000,"Greed,
Risk",-47.15
6,5011.0,False,True,False,True,010010,"Greed,
Nash",57.32
7,5012.0,False,True,True,False,011000,"Greed,
Risk",99.18
8,5013.0,False,True,True,False,011000,"Greed,
Risk",-166.04
9,5014.0,False,True,True,False,011000,"Greed,
Risk",21.98
10,5015.0,True,False,False,True,100010,"Coop.,
Nash",109.82
11,5016.0,False,True,False,False,010000,Greed,33.28
12,5017.0,False,True,False,True,010010,"Greed,
Nash",70.17
13,5018.0,False,True,True,False,011000,"Greed,
Risk",-168.28
14,5019.0,True,True,False,True,110010,"Coop.,
Greed,
Nash",-176.4
15,5020.0,False,True,True,True,011010,"Greed,
Risk,
Nash",-132.87
16,5021.0,True,False,False,True,100010,"Coop.,
Nash",92.89
17,5022.0,False,True,True,False,011000,"Greed,
Risk",23.24
18,5023.0,True,True,False,False,110000,"Coop.,
Greed",48.3
19,5024.0,True,True,True,False,111000,"Coop.,
Greed,
Risk",7.51
20,5025.0,True,True,False,False,110000,"Coop.,
Greed",10.19
21,5026.0,False,True,False,True,010010,"Greed,
Nash",-86.49
22,5027.0,True,False,False,True,100010,"Coop.,
Nash",13.99
23,5028.0,True,False,False,True,100010,"Coop.,
Nash",72.48
24,5029.0,True,True,False,True,110010,"Coop.,
Greed,
Nash",7.25
25,5030.0,False,True,True,False,011000,"Greed,
Risk",-73.7
26,5031.0,True,True,True,True,111010,"Coop.,
Greed,
Risk,
Nash",20.45
27,5032.0,True,True,False,True,110010,"Coop.,
Greed,
Nash",6.27
28,5033.0,False,True,True,False,011000,"Greed,
Risk",37.87
29,5034.0,False,False,True,True,001010,"Risk,
Nash",32.48
30,5035.0,False,True,True,False,011000,"Greed,
Risk",90.77
31,5036.0,False,True,True,False,011000,"Greed,
Risk",-26.08
32,5037.0,False,True,False,True,010010,"Greed,
Nash",-116.4
33,5038.0,False,True,False,True,010010,"Greed,
Nash",-64.12
34,5039.0,False,True,True,True,011010,"Greed,
Risk,
Nash",-62.35
35,5040.0,True,True,False,True,110010,"Coop.,
Greed,
Nash",88.24
36,5041.0,False,True,True,True,011010,"Greed,
Risk,
Nash",-28.45
37,5042.0,False,True,True,True,011010,"Greed,
Risk,
Nash",25.31
38,5043.0,False,False,True,True,001010,"Risk,
Nash",44.81
39,5044.0,True,False,False,True,100010,"Coop.,
Nash",145.66
40,5045.0,True,True,True,False,111000,"Coop.,
Greed,
Risk",-1.68
41,5046.0,False,True,True,False,011000,"Greed,
Risk",7.27
42,5047.0,False,True,True,False,011000,"Greed,
Risk",-1.8
43,5048.0,False,True,True,False,011000,"Greed,
Risk",-131.8
44,5049.0,False,True,True,False,011000,"Greed,
Risk",105.41
45,5050.0,False,True,False,True,010010,"Greed,
Nash",-10.23
46,5051.0,False,True,False,False,010000,Greed,-42.08
47,5052.0,False,True,True,True,011010,"Greed,
Risk,
Nash",-162.07
48,5053.0,False,True,False,True,010010,"Greed,
Nash",-2.3
49,5054.0,False,True,True,True,011010,"Greed,
Risk,
Nash",-0.64
